_unit_id;_golden;_unit_state;_trusted_judgments;_last_judgment_at;sentiment;sentiment:confidence;date;id;query;sentiment_gold;text
623495536;TRUE;golden;13;;1;1;Mon Dec 01 23:55:55 +0000 2014;5.40E+17;#AAPL OR @Apple;1;@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc
623495537;TRUE;golden;9;;1;0.8928;Tue Dec 02 00:06:05 +0000 2014;5.40E+17;#AAPL OR @Apple;1;i get the storage almost full notification literally every 5 minutes chill @apple
623495538;TRUE;golden;13;;1;0.8558;Tue Dec 02 00:14:25 +0000 2014;5.40E+17;#AAPL OR @Apple;1;I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n
623495539;TRUE;golden;14;;1;0.8701;Tue Dec 02 00:15:11 +0000 2014;5.40E+17;#AAPL OR @Apple;1;@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle
623495540;FALSE;finalized;4;12/12/2014 08:36;3;0.7244;Tue Dec 02 00:15:14 +0000 2014;5.40E+17;#AAPL OR @Apple;;Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495541;TRUE;golden;16;;5;0.5724;Tue Dec 02 00:15:16 +0000 2014;5.40E+17;#AAPL OR @Apple;5;
"3""";Latest Apple Products Leading in Efficiency http://t.co/KHeNlVT1FJ @apple #iPhone #iPad #plugloads;;;;;;;;;;
623495542;FALSE;finalized;3;12/12/2014 08:42;3;1;Tue Dec 02 00:15:26 +0000 2014;5.40E+17;#AAPL OR @Apple;;RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495543;FALSE;finalized;4;12/12/2014 18:31;3;0.7179;Tue Dec 02 00:16:03 +0000 2014;5.40E+17;#AAPL OR @Apple;;Good be huge RT @thehill Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/QmLBuvG6Xz
623495544;FALSE;finalized;3;12/12/2014 02:33;3;1;Tue Dec 02 00:16:04 +0000 2014;5.40E+17;#AAPL OR @Apple;;@thehill @Apple i cite the 4th amendment as a retort
623495545;FALSE;finalized;3;12/12/2014 00:01;3;0.6604;Tue Dec 02 00:16:27 +0000 2014;5.40E+17;#AAPL OR @Apple;;RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495546;FALSE;finalized;4;12/11/2014 23:40;5;1;Tue Dec 02 00:17:02 +0000 2014;5.40E+17;#AAPL OR @Apple;;RT @saxonidubom: @rwang0 @Apple Thanks...thinking of upgrading.
623495547;FALSE;finalized;3;12/12/2014 09:10;3;0.6515;Tue Dec 02 00:18:59 +0000 2014;5.40E+17;#AAPL OR @Apple;;RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495548;FALSE;finalized;3;12/12/2014 21:02;3;1;Tue Dec 02 00:22:26 +0000 2014;5.40E+17;#AAPL OR @Apple;;Way to stay relevant RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/mptcggWZO1
623495549;FALSE;finalized;6;12/11/2014 09:47;3;1;Tue Dec 02 00:22:31 +0000 2014;5.40E+17;#AAPL OR @Apple;;Apple Inc. Flash Crash: What You Need to Know http://t.co/Ko9PT6yuMV #AAPL
623495550;TRUE;golden;9;;3;1;Tue Dec 02 00:23:47 +0000 2014;5.40E+17;#AAPL OR @Apple;3;http://t.co/hpC7p1rHvA
need help on using your #Apple #iPhone6 &amp;;;;;;;;;;;
"@applenws @apple http://t.co/K3fQHPazMc""";;;;;;;;;;;
623495551;FALSE;finalized;3;12/11/2014 14:07;3;1;Tue Dec 02 00:24:26 +0000 2014;5.40E+17;#AAPL OR @Apple;;RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495552;FALSE;finalized;6;12/12/2014 09:26;1;0.4673;Tue Dec 02 00:24:47 +0000 2014;5.40E+17;#AAPL OR @Apple;;That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me #AAPL
623495553;FALSE;finalized;3;12/12/2014 14:51;3;1;Tue Dec 02 00:25:38 +0000 2014;5.40E+17;#AAPL OR @Apple;;RT @tra_hall: The JH Hines Staff with their newly issued @Apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH #txed
623495554;TRUE;golden;11;;1;0.7453;Tue Dec 02 00:27:23 +0000 2014;5.40E+17;#AAPL OR @Apple;1;Nigga update yall headphones @Apple
623495555;FALSE;finalized;3;12/12/2014 03:33;3;1;Tue Dec 02 00:27:36 +0000 2014;5.40E+17;#AAPL OR @Apple;;RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495556;FALSE;finalized;3;12/11/2014 22:17;1;0.665;Tue Dec 02 00:28:38 +0000 2014;5.40E+17;#AAPL OR @Apple;;RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
