pinned_tweet_id,description,created_at,profile_image_url,name,username,id,verified,public_metrics,url,protected,entities,location,metric_followers_count,metric_following_count,metric_tweet_count,metric_listed_count
1.496032987049349e+18,"+18 
Só putaria",2022-02-21T13:07:22.000Z,https://pbs.twimg.com/profile_images/1495747281278095360/1fJkI4V4_normal.jpg,Thi,Thirolagrossa,1495746927794835457,False,"{'followers_count': 33, 'following_count': 304, 'tweet_count': 120, 'listed_count': 0}",,False,,,33,304,120,0
1.489536434054869e+18,novinho fetichista exibicionista e sem pudor🔞,2021-12-08T01:52:23.000Z,https://pbs.twimg.com/profile_images/1490359573739356171/xAsT6MV2_normal.jpg,Jhonny,tatuadoysafado,1468397897645543427,False,"{'followers_count': 3196, 'following_count': 202, 'tweet_count': 42, 'listed_count': 2}",,False,,,3196,202,42,2
1.454426626079527e+18,My fetish world 😈| Privacy: https://t.co/SM0kY0oIZ7,2021-10-27T16:52:10.000Z,https://pbs.twimg.com/profile_images/1458979215118852099/QIOaUg3j_normal.jpg,Henri Dot 🍁💦,henridotado,1453404081574273033,False,"{'followers_count': 45007, 'following_count': 616, 'tweet_count': 320, 'listed_count': 180}",,False,"{'description': {'urls': [{'start': 28, 'end': 51, 'url': 'https://t.co/SM0kY0oIZ7', 'expanded_url': 'https://privacy.com.br/Checkout/henripauzudo/r45d', 'display_url': 'privacy.com.br/Checkout/henri…'}]}}",,45007,616,320,180
,dirittodellinformatica.it è la rivista telematica specializzata in informatica giuridica e diritto delle nuove tecnologie,2010-04-08T10:13:08.000Z,https://pbs.twimg.com/profile_images/1448940061882454050/bzus8Agv_normal.jpg,Diritto dell'Informatica,hitechlaw,130796328,False,"{'followers_count': 454, 'following_count': 2, 'tweet_count': 130, 'listed_count': 9}",https://t.co/PsQoduCosO,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/PsQoduCosO', 'expanded_url': 'https://www.dirittodellinformatica.it/', 'display_url': 'dirittodellinformatica.it'}]}}",Bologna,454,2,130,9
1.4379835879456563e+18,"Nouran is my real name, mais je suis Néfertiti déguisée mi amor.",2017-06-10T21:12:45.000Z,https://pbs.twimg.com/profile_images/1444646380937650176/fZD2SMj7_normal.jpg,Nefertiti,cleopatrabbg,873649157185171467,False,"{'followers_count': 282, 'following_count': 1289, 'tweet_count': 4920, 'listed_count': 0}",,False,,La Vie En Rose,282,1289,4920,0
,Mindfullness Thoughts Daily You Should Know,2021-11-22T19:31:24.000Z,https://pbs.twimg.com/profile_images/1466128542849187850/KqcLKxOy_normal.jpg,Mindfulness Thoughts,Mindfulness_DQ,1462866268810190848,False,"{'followers_count': 35999, 'following_count': 3, 'tweet_count': 94, 'listed_count': 119}",,False,,,35999,3,94,119
8.07524434315776e+17,A 23rd Century - Social Media servicing company.,2015-12-07T14:15:32.000Z,https://pbs.twimg.com/profile_images/673871186489704448/eBs21RxW_normal.jpg,CC Consulting SL,CCConsultingSL,4405550069,False,"{'followers_count': 417, 'following_count': 178, 'tweet_count': 11081, 'listed_count': 21}",,False,,Nigeria,417,178,11081,21
1.2427472764660204e+18,"TechHer is a community of women hinged on learning, collaboration and support. Subscribe to our newsletter: https://t.co/QbkXU2hJ1J!",2015-08-18T10:04:47.000Z,https://pbs.twimg.com/profile_images/1481239071494135811/AB_VAX41_normal.jpg,TechHerNG,TechHerNG,3429594969,False,"{'followers_count': 3899, 'following_count': 489, 'tweet_count': 9836, 'listed_count': 86}",https://t.co/UInNUR8ylf,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/UInNUR8ylf', 'expanded_url': 'http://www.techherng.com', 'display_url': 'techherng.com'}]}, 'description': {'urls': [{'start': 108, 'end': 131, 'url': 'https://t.co/QbkXU2hJ1J', 'expanded_url': 'https://bit.ly/2P6S1Rg', 'display_url': 'bit.ly/2P6S1Rg'}]}}",Nigeria,3899,489,9836,86
,"Official handle of SP Deogarh, Odisha.",2017-04-04T07:40:25.000Z,https://pbs.twimg.com/profile_images/1264559958680616961/EqowM3w6_normal.jpg,SP Deogarh,spdeogarh,849164739880001536,True,"{'followers_count': 3951, 'following_count': 93, 'tweet_count': 534, 'listed_count': 13}",https://t.co/9B6Jh1qU26,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/9B6Jh1qU26', 'expanded_url': 'https://odishapolice.gov.in/?q=node/183', 'display_url': 'odishapolice.gov.in/?q=node/183'}]}}",Deogarh,3951,93,534,13
1.4299790723612344e+18,"Official handle of Police Department, Odisha State, India.",2017-04-03T13:01:10.000Z,https://pbs.twimg.com/profile_images/862260861502607360/qhr6ooYl_normal.jpg,Odisha Police,odisha_police,848883073324167170,True,"{'followers_count': 302763, 'following_count': 133, 'tweet_count': 14564, 'listed_count': 129}",https://t.co/69sm09sUXd,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/69sm09sUXd', 'expanded_url': 'https://odishapolice.gov.in/', 'display_url': 'odishapolice.gov.in'}]}}","Cuttack, Odisha",302763,133,14564,129
