donation,donation_amount,visit_id,user_id
1.0,600.0,5555694760,55885864.0
1.0,600.0,5555694761,55885865.0
1.0,562.0,5555694765,55885869.0
1.0,576.0,5555694767,55885871.0
1.0,518.0,5555694769,55885873.0
1.0,600.0,5555694770,55885874.0
1.0,450.0,5555694771,55885875.0
1.0,488.0,5555694773,55885877.0
1.0,600.0,5555694775,55885879.0
1.0,488.0,5555694778,55885882.0
1.0,461.0,5555694784,55885888.0
1.0,600.0,5555694785,55885889.0
1.0,525.0,5555694789,55885893.0
1.0,600.0,5555694793,55885897.0
1.0,525.0,5555694795,55885899.0
1.0,600.0,5555694797,55885901.0
1.0,525.0,5555694803,55885907.0
1.0,300.0,5555694804,55885908.0
1.0,578.0,5555694806,55885910.0
1.0,463.0,5555694811,55885915.0
1.0,600.0,5555694812,55885916.0
1.0,600.0,5555694814,55885918.0
1.0,461.0,5555694821,55885925.0
1.0,600.0,5555694829,55885933.0
1.0,488.0,5555694831,55885935.0
1.0,600.0,5555694833,55885937.0
1.0,562.0,5555694835,55885939.0
1.0,525.0,5555694837,55885941.0
1.0,488.0,5555694843,55885947.0
1.0,450.0,5555694846,55885950.0
1.0,361.0,5555694847,55885951.0
1.0,488.0,5555694848,55885952.0
1.0,600.0,5555694853,55885957.0
1.0,565.0,5555694854,55885958.0
1.0,562.0,5555694865,55885969.0
1.0,488.0,5555694866,55885970.0
1.0,525.0,5555694872,55885976.0
1.0,525.0,5555694873,55885977.0
1.0,562.0,5555694880,55885984.0
1.0,562.0,5555694881,55885985.0
1.0,600.0,5555694885,55885989.0
1.0,600.0,5555694888,55885992.0
1.0,525.0,5555694889,55885993.0
1.0,600.0,5555694891,55885995.0
1.0,600.0,5555694897,55886001.0
1.0,496.0,5555694901,55886005.0
1.0,488.0,5555694906,55886010.0
1.0,450.0,5555694908,55886012.0
1.0,562.0,5555694911,55886015.0
1.0,525.0,5555694914,55886018.0
1.0,525.0,5555694921,55886025.0
1.0,525.0,5555694923,55886027.0
1.0,600.0,5555694924,55886028.0
1.0,562.0,5555694925,55886029.0
1.0,562.0,5555694928,55886032.0
1.0,600.0,5555694931,55886035.0
1.0,525.0,5555694932,55886036.0
1.0,461.0,5555694933,55886037.0
1.0,285.0,5555694948,55886052.0
1.0,600.0,5555694951,55886055.0
1.0,557.0,5555694954,55886058.0
1.0,562.0,5555694955,55886059.0
1.0,600.0,5555694956,55886060.0
1.0,600.0,5555694958,55886062.0
1.0,488.0,5555694963,55886067.0
1.0,589.0,5555694965,55886069.0
1.0,525.0,5555694966,55886070.0
1.0,562.0,5555694969,55886073.0
1.0,518.0,5555694973,55886077.0
1.0,562.0,5555694977,55886081.0
1.0,444.0,5555694978,55886082.0
1.0,562.0,5555694981,55886085.0
1.0,484.0,5555694982,55886086.0
1.0,479.0,5555694984,55886088.0
1.0,600.0,5555694985,55886089.0
1.0,525.0,5555694987,55886091.0
1.0,236.0,5555694988,55886092.0
1.0,468.0,5555694991,55886095.0
1.0,488.0,5555694992,55886096.0
1.0,600.0,5555694994,55886098.0
1.0,459.0,5555694995,55886099.0
1.0,563.0,5555694997,55886101.0
1.0,488.0,5555694999,55886103.0
1.0,450.0,5555695000,55886104.0
1.0,488.0,5555695007,55886111.0
1.0,525.0,5555695013,55886117.0
1.0,488.0,5555695019,55886123.0
1.0,600.0,5555695021,55886125.0
