campaign,session_id,user_id
,5555694754,55885858.0
,5555694755,55885859.0
1.0,5555694756,55885860.0
1.0,5555694757,55885861.0
1.0,5555694758,55885862.0
,5555694759,55885863.0
1.0,5555694760,55885864.0
1.0,5555694761,55885865.0
,5555694762,55885866.0
,5555694763,55885867.0
,5555694764,55885868.0
1.0,5555694765,55885869.0
1.0,5555694766,55885870.0
1.0,5555694767,55885871.0
,5555694768,55885872.0
1.0,5555694769,55885873.0
1.0,5555694770,55885874.0
1.0,5555694771,55885875.0
,5555694772,55885876.0
1.0,5555694773,55885877.0
,5555694774,55885878.0
1.0,5555694775,55885879.0
1.0,5555694776,55885880.0
,5555694777,55885881.0
1.0,5555694778,55885882.0
1.0,5555694779,55885883.0
1.0,5555694780,55885884.0
,5555694781,55885885.0
1.0,5555694782,55885886.0
1.0,5555694783,55885887.0
,5555694784,55885888.0
1.0,5555694785,55885889.0
1.0,5555694786,55885890.0
,5555694787,55885891.0
,5555694788,55885892.0
1.0,5555694789,55885893.0
1.0,5555694790,55885894.0
1.0,5555694791,55885895.0
,5555694792,55885896.0
1.0,5555694793,55885897.0
,5555694794,55885898.0
1.0,5555694795,55885899.0
1.0,5555694796,55885900.0
1.0,5555694797,55885901.0
1.0,5555694798,55885902.0
,5555694799,55885903.0
1.0,5555694800,55885904.0
,5555694801,55885905.0
1.0,5555694802,55885906.0
1.0,5555694803,55885907.0
1.0,5555694804,55885908.0
1.0,5555694805,55885909.0
1.0,5555694806,55885910.0
1.0,5555694807,55885911.0
,5555694808,55885912.0
,5555694809,55885913.0
1.0,5555694810,55885914.0
1.0,5555694811,55885915.0
,5555694812,55885916.0
,5555694813,55885917.0
1.0,5555694814,55885918.0
1.0,5555694815,55885919.0
1.0,5555694816,55885920.0
1.0,5555694817,55885921.0
1.0,5555694818,55885922.0
,5555694819,55885923.0
,5555694820,55885924.0
,5555694821,55885925.0
,5555694822,55885926.0
,5555694823,55885927.0
,5555694824,55885928.0
1.0,5555694825,55885929.0
1.0,5555694826,55885930.0
,5555694827,55885931.0
1.0,5555694828,55885932.0
1.0,5555694829,55885933.0
,5555694830,55885934.0
1.0,5555694831,55885935.0
,5555694832,55885936.0
1.0,5555694833,55885937.0
,5555694834,55885938.0
1.0,5555694835,55885939.0
,5555694836,55885940.0
1.0,5555694837,55885941.0
,5555694838,55885942.0
1.0,5555694839,55885943.0
,5555694840,55885944.0
1.0,5555694841,55885945.0
1.0,5555694842,55885946.0
1.0,5555694843,55885947.0
,5555694844,55885948.0
,5555694845,55885949.0
1.0,5555694846,55885950.0
1.0,5555694847,55885951.0
1.0,5555694848,55885952.0
1.0,5555694849,55885953.0
,5555694850,55885954.0
1.0,5555694851,55885955.0
1.0,5555694852,55885956.0
1.0,5555694853,55885957.0
1.0,5555694854,55885958.0
1.0,5555694855,55885959.0
1.0,5555694856,55885960.0
1.0,5555694857,55885961.0
,5555694858,55885962.0
1.0,5555694859,55885963.0
1.0,5555694860,55885964.0
,5555694861,55885965.0
,5555694862,55885966.0
,5555694863,55885967.0
1.0,5555694864,55885968.0
1.0,5555694865,55885969.0
1.0,5555694866,55885970.0
1.0,5555694867,55885971.0
,5555694868,55885972.0
1.0,5555694869,55885973.0
1.0,5555694870,55885974.0
,5555694871,55885975.0
1.0,5555694872,55885976.0
1.0,5555694873,55885977.0
1.0,5555694874,55885978.0
1.0,5555694875,55885979.0
,5555694876,55885980.0
,5555694877,55885981.0
1.0,5555694878,55885982.0
1.0,5555694879,55885983.0
1.0,5555694880,55885984.0
1.0,5555694881,55885985.0
,5555694882,55885986.0
,5555694883,55885987.0
1.0,5555694884,55885988.0
1.0,5555694885,55885989.0
,5555694886,55885990.0
1.0,5555694887,55885991.0
1.0,5555694888,55885992.0
1.0,5555694889,55885993.0
,5555694890,55885994.0
