ID;Response
5524;1
2174;0
4141;0
6182;0
5324;0
7446;0
965;0
6177;0
4855;1
5899;0
1994;0
387;0
2125;0
8180;0
2569;0
2114;1
9736;0
4939;0
6565;0
2278;0
9360;0
5376;0
1993;0
4047;0
1409;0
7892;0
2404;0
5255;0
9422;0
1966;0
6864;0
3033;0
5710;0
7373;1
8755;0
10738;0
4339;0
10755;0
8595;0
2968;1
8601;0
503;0
8430;0
7281;0
2139;0
1371;0
9909;1
7286;0
7244;0
6566;0
8614;0
4114;0
1331;0
2225;1
9381;0
6260;1
10383;1
7437;0
8557;0
8375;0
6853;1
3076;0
1012;0
6518;0
4137;0
8082;1
1386;0
9369;1
4477;0
1357;0
1402;0
10629;0
6312;0
8132;0
1050;0
5846;0
1859;1
7503;1
10401;0
1618;1
3332;0
2261;0
5346;0
4119;0
535;0
5268;0
273;0
4452;1
8504;0
771;0
8996;0
9235;0
5798;0
11178;0
2230;0
7516;0
7247;0
11100;0
4646;0
3037;0
1473;0
1016;0
4518;0
9370;0
8908;1
8373;0
7533;0
2683;0
3629;0
10991;0
5077;0
7431;1
3267;0
999;1
9215;0
2286;0
1592;0
367;0
5234;0
9862;0
9805;0
6205;1
8442;0
7386;0
7215;1
1491;0
11071;1
3381;0
8268;0
11051;0
8026;0
433;0
9597;0
1295;0
5290;0
1685;0
5342;0
9579;0
7660;1
1461;0
821;0
11084;1
8690;0
2937;0
9701;0
9949;0
10837;1
3120;0
5885;0
4050;0
3830;0
7987;0
7798;0
92;0
7055;0
10240;1
3025;0
9283;0
9970;0
2730;0
2795;0
9260;0
8182;0
10095;0
8475;
4370;0
10573;0
3712;0
6637;0
3152;0
5610;0
6460;0
1349;0
1880;0
641;0
8717;0
10314;1
10854;0
10492;0
6935;0
7698;0
3559;0
10562;0
10796;0
2563;0
3518;0
5823;0
3934;0
6982;0
6431;0
9733;1
5602;0
7829;0
1324;0
326;0
7224;0
6999;0
9938;0
6422;0
3182;1
7300;0
10424;0
8727;0
2798;1
1030;0
624;1
5176;0
5552;0
868;0
380;1
2677;0
6521;0
6927;0
2877;0
0;0
1584;0
7264;0
6274;0
1377;0
454;0
1755;0
2075;0
4785;0
9076;0
7079;0
4653;0
7375;0
709;0
460;0
3726;0
6798;1
5341;0
1606;0
9617;0
3233;0
89;0
2936;0
9449;0
7297;0
11004;0
313;0
9940;0
10735;0
9529;1
6439;0
7411;0
2176;1
9265;0
8867;0
8932;0
10236;0
6340;0
10089;1
2227;0
10992;0
5304;0
309;0
3406;0
2661;0
3153;0
10264;1
1184;0
4200;0
9396;0
2387;1
6690;0
1225;0
9703;1
291;0
4557;0
2379;1
5726;0
3066;0
6336;0
10967;0
2304;0
3445;1
7828;0
3762;1
4391;0
4669;0
10144;0
8652;0
1672;0
8962;0
9974;0
10983;0
8148;0
10102;0
4697;0
9262;0
7254;0
4543;0
4927;0
10451;0
2926;0
2874;0
9738;0
7119;0
3924;0
5827;0
5596;0
10812;0
1717;0
9491;0
9274;0
6609;1
6963;0
4440;0
1379;0
10032;0
2826;0
2437;0
6320;0
3050;0
231;0
2392;0
9478;0
113;0
2863;0
1802;0
520;0
8275;0
9750;0
2607;0
7214;0
5835;0
3896;0
10350;0
7786;0
2861;0
663;0
10675;1
2521;1
9592;0
10151;0
7381;1
4099;0
9560;1
1150;0
10172;0
11191;0
9707;0
6245;0
8234;1
1411;0
8553;0
1826;1
8842;0
11030;0
2579;0
175;0
9185;1
11056;0
9365;0
6201;0
2061;0
6184;0
6142;0
4107;0
7274;0
1729;0
1517;0
2098;0
9543;0
6878;0
3310;0
2724;0
948;0
6720;1
6202;0
2066;0
9799;0
8318;0
5642;0
2669;0
455;0
7683;0
3428;0
7414;0
6354;1
798;0
8213;1
2488;0
9999;0
7617;0
615;0
2552;1
194;0
3645;1
8890;0
5049;0
9973;0
7301;1
10882;0
7030;0
7422;0
3523;0
7106;0
6504;0
5067;0
4216;1
8581;0
5929;0
3129;0
6528;0
1361;1
6932;0
7284;0
1340;0
8746;0
5987;0
3767;0
3725;1
4324;0
238;0
6694;0
498;0
9347;0
9699;0
10664;0
5455;0
456;0
5012;0
7495;0
5029;0
10642;0
2106;0
10364;0
5954;0
1137;0
2541;0
1142;0
2276;0
2807;0
6471;0
6131;0
6233;0
4148;0
4947;1
3225;1
7540;0
10648;0
1992;1
7851;0
8594;0
7059;0
2815;0
2416;0
7999;1
9213;0
9697;0
3916;0
2021;0
1581;1
564;1
6619;0
9081;0
178;0
916;0
5512;0
8970;0
10581;0
5300;0
5154;0
8346;1
1676;0
9286;0
2426;1
5172;0
5562;0
3436;0
3921;0
3403;0
22;0
10965;0
9426;0
6605;0
3136;0
8737;0
11088;0
716;0
466;0
9135;0
10623;0
8151;0
5140;0
10160;0
4945;0
10584;0
6071;0
3386;0
8939;0
9925;0
4320;0
5389;0
6036;0
182;0
203;0
11025;0
10203;0
4607;0
3711;0
5036;0
5547;1
7822;0
8541;0
10955;1
4368;0
9671;1
2256;0
4279;0
5371;1
9240;0
9460;0
9504;1
8692;0
448;0
8314;0
8420;0
3174;1
7685;0
3179;0
9780;0
10681;0
10232;0
4184;0
9120;0
891;0
10381;0
3525;0
6818;0
3526;0
8181;0
1029;0
7369;0
2574;1
8159;0
1160;0
10242;0
5253;0
5966;0
5314;0
5081;0
5123;0
5756;0
8036;0
9058;1
5057;0
254;0
4179;0
3710;1
7627;1
4501;0
6424;0
3075;0
4992;1
5252;0
7444;0
6919;0
3537;0
10277;0
2453;0
7972;0
895;0
1177;0
7141;1
7232;0
8477;0
2457;0
988;0
7930;0
4587;0
6682;0
6222;0
10299;1
3083;0
8953;0
1503;0
8650;0
10862;0
2782;0
6941;0
10972;0
10708;0
6583;0
3641;0
10156;0
4299;1
3469;0
5063;0
10727;0
9624;0
5156;0
4376;1
8923;1
8461;0
6945;0
944;0
1907;1
701;0
3856;0
4149;0
2131;0
2942;0
1173;1
4381;0
4611;1
3376;0
4679;0
10928;0
4248;0
6728;0
6661;0
4725;0
3277;0
5555;0
2564;0
946;0
3867;0
6940;0
55;0
7093;0
5084;0
1777;0
8162;0
10826;0
8754;0
1987;0
11007;0
7426;0
9153;0
10379;0
9204;0
3197;0
2920;0
6961;0
4673;1
9937;0
8779;1
9596;0
2891;0
4910;0
75;0
10120;0
6327;0
10142;0
9826;1
1501;0
10767;0
7279;0
7230;1
143;0
450;0
9316;0
6379;1
9239;0
8315;0
2868;1
